"Plot Title: FORCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685714, SEN S/N: 20685714, LBL: Temp)","Bad Battery (LGR S/N: 20685714)","End Of File (LGR S/N: 20685714)"
216,07/11/22 23:30:00,5.347,,
217,07/12/22 00:00:00,5.450,,
218,07/12/22 00:30:00,5.450,,
219,07/12/22 01:00:00,5.450,,
220,07/12/22 01:30:00,5.347,,
221,07/12/22 02:00:00,5.347,,
222,07/12/22 02:30:00,5.244,,
223,07/12/22 03:00:00,5.244,,
224,07/12/22 03:30:00,5.141,,
225,07/12/22 04:00:00,4.934,,
226,07/12/22 04:30:00,4.831,,
227,07/12/22 05:00:00,4.727,,
228,07/12/22 05:30:00,4.623,,
229,07/12/22 06:00:00,4.519,,
230,07/12/22 06:30:00,4.623,,
231,07/12/22 07:00:00,4.831,,
232,07/12/22 07:30:00,5.141,,
233,07/12/22 08:00:00,5.347,,
234,07/12/22 08:30:00,5.552,,
235,07/12/22 09:00:00,5.860,,
236,07/12/22 09:30:00,6.166,,
237,07/12/22 10:00:00,6.573,,
238,07/12/22 10:30:00,7.079,,
239,07/12/22 11:00:00,7.582,,
240,07/12/22 11:30:00,7.983,,
241,07/12/22 12:00:00,8.382,,
242,07/12/22 12:30:00,8.680,,
243,07/12/22 13:00:00,8.978,,
244,07/12/22 13:30:00,9.176,,
245,07/12/22 14:00:00,9.472,,
246,07/12/22 14:30:00,9.571,,
247,07/12/22 15:00:00,9.571,,
248,07/12/22 15:30:00,9.571,,
249,07/12/22 16:00:00,9.373,,
250,07/12/22 16:30:00,9.176,,
251,07/12/22 17:00:00,8.879,,
252,07/12/22 17:30:00,8.680,,
253,07/12/22 18:00:00,8.481,,
254,07/12/22 18:30:00,8.282,,
255,07/12/22 19:00:00,8.082,,
256,07/12/22 19:30:00,7.782,,
257,07/12/22 20:00:00,7.381,,
258,07/12/22 20:30:00,7.079,,
259,07/12/22 21:00:00,6.674,,
260,07/12/22 21:30:00,6.370,,
261,07/12/22 22:00:00,6.064,,
262,07/12/22 22:30:00,5.860,,
263,07/12/22 23:00:00,5.552,,
264,07/12/22 23:30:00,5.347,,
265,07/13/22 00:00:00,5.037,,
266,07/13/22 00:30:00,4.934,,
267,07/13/22 01:00:00,4.831,,
268,07/13/22 01:30:00,4.727,,
269,07/13/22 02:00:00,4.519,,
270,07/13/22 02:30:00,4.311,,
271,07/13/22 03:00:00,4.102,,
272,07/13/22 03:30:00,4.102,,
273,07/13/22 04:00:00,4.207,,
274,07/13/22 04:30:00,4.207,,
275,07/13/22 05:00:00,4.102,,
276,07/13/22 05:30:00,3.998,,
277,07/13/22 06:00:00,3.998,,
278,07/13/22 06:30:00,3.998,,
279,07/13/22 07:00:00,4.207,,
280,07/13/22 07:30:00,4.311,,
281,07/13/22 08:00:00,4.311,,
282,07/13/22 08:30:00,4.415,,
283,07/13/22 09:00:00,4.623,,
284,07/13/22 09:30:00,5.141,,
285,07/13/22 10:00:00,5.552,,
286,07/13/22 10:30:00,5.962,,
287,07/13/22 11:00:00,6.370,,
288,07/13/22 11:30:00,6.674,,
289,07/13/22 12:00:00,7.079,,
290,07/13/22 12:30:00,7.280,,
291,07/13/22 13:00:00,7.481,,
292,07/13/22 13:30:00,7.782,,
293,07/13/22 14:00:00,7.882,,
294,07/13/22 14:30:00,7.983,,
295,07/13/22 15:00:00,7.983,,
296,07/13/22 15:30:00,7.882,,
297,07/13/22 16:00:00,7.882,,
298,07/13/22 16:30:00,7.782,,
299,07/13/22 17:00:00,7.682,,
300,07/13/22 17:30:00,7.481,,
301,07/13/22 18:00:00,7.280,,
302,07/13/22 18:30:00,7.079,,
303,07/13/22 19:00:00,6.877,,
304,07/13/22 19:30:00,6.674,,
305,07/13/22 20:00:00,6.370,,
306,07/13/22 20:30:00,6.166,,
307,07/13/22 21:00:00,5.860,,
308,07/13/22 21:30:00,5.552,,
309,07/13/22 22:00:00,5.244,,
310,07/13/22 22:30:00,5.037,,
311,07/13/22 23:00:00,4.727,,
312,07/13/22 23:30:00,4.519,,
313,07/14/22 00:00:00,4.311,,
314,07/14/22 00:30:00,4.207,,
315,07/14/22 01:00:00,3.998,,
316,07/14/22 01:30:00,3.998,,
317,07/14/22 02:00:00,3.893,,
318,07/14/22 02:30:00,3.893,,
319,07/14/22 03:00:00,3.788,,
320,07/14/22 03:30:00,3.683,,
321,07/14/22 04:00:00,3.683,,
322,07/14/22 04:30:00,3.788,,
323,07/14/22 05:00:00,3.788,,
324,07/14/22 05:30:00,3.788,,
325,07/14/22 06:00:00,3.788,,
326,07/14/22 06:30:00,3.893,,
327,07/14/22 07:00:00,4.102,,
328,07/14/22 07:30:00,4.311,,
329,07/14/22 08:00:00,4.727,,
330,07/14/22 08:30:00,5.037,,
331,07/14/22 09:00:00,5.347,,
332,07/14/22 09:30:00,5.655,,
333,07/14/22 10:00:00,5.962,,
334,07/14/22 10:30:00,6.268,,
335,07/14/22 11:00:00,6.573,,
336,07/14/22 11:30:00,6.877,,
337,07/14/22 12:00:00,7.179,,
338,07/14/22 12:30:00,7.381,,
339,07/14/22 13:00:00,7.582,,
340,07/14/22 13:30:00,7.882,,
341,07/14/22 14:00:00,8.082,,
342,07/14/22 14:30:00,8.182,,
343,07/14/22 15:00:00,8.282,,
344,07/14/22 15:30:00,8.282,,
345,07/14/22 16:00:00,8.282,,
346,07/14/22 16:30:00,8.282,,
347,07/14/22 17:00:00,8.082,,
348,07/14/22 17:30:00,7.983,,
349,07/14/22 18:00:00,7.682,,
350,07/14/22 18:30:00,7.481,,
351,07/14/22 19:00:00,7.280,,
352,07/14/22 19:30:00,6.978,,
353,07/14/22 20:00:00,6.573,,
354,07/14/22 20:30:00,6.268,,
355,07/14/22 21:00:00,5.860,,
356,07/14/22 21:30:00,5.552,,
357,07/14/22 22:00:00,5.347,,
358,07/14/22 22:30:00,5.037,,
359,07/14/22 23:00:00,4.831,,
360,07/14/22 23:30:00,4.623,,
361,07/15/22 00:00:00,4.519,,
362,07/15/22 00:30:00,4.415,,
363,07/15/22 01:00:00,4.415,,
364,07/15/22 01:30:00,4.311,,
365,07/15/22 02:00:00,4.207,,
366,07/15/22 02:30:00,4.102,,
367,07/15/22 03:00:00,4.207,,
368,07/15/22 03:30:00,4.102,,
369,07/15/22 04:00:00,4.102,,
370,07/15/22 04:30:00,4.102,,
371,07/15/22 05:00:00,4.102,,
372,07/15/22 05:30:00,4.207,,
373,07/15/22 06:00:00,4.207,,
374,07/15/22 06:30:00,4.207,,
375,07/15/22 07:00:00,4.415,,
376,07/15/22 07:30:00,4.623,,
377,07/15/22 08:00:00,4.831,,
378,07/15/22 08:30:00,5.037,,
379,07/15/22 09:00:00,5.450,,
380,07/15/22 09:30:00,5.757,,
381,07/15/22 10:00:00,6.064,,
382,07/15/22 10:30:00,6.573,,
383,07/15/22 11:00:00,6.877,,
384,07/15/22 11:30:00,6.978,,
385,07/15/22 12:00:00,7.079,,
386,07/15/22 12:30:00,7.179,,
387,07/15/22 13:00:00,7.381,,
388,07/15/22 13:30:00,7.582,,
389,07/15/22 14:00:00,7.782,,
390,07/15/22 14:30:00,7.882,,
