"Plot Title: FORCRKW_H"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685713, SEN S/N: 20685713, LBL: Temp)","End Of File (LGR S/N: 20685713)"
310,07/13/22 22:30:00,2.943,
311,07/13/22 23:00:00,2.943,
312,07/13/22 23:30:00,2.943,
313,07/14/22 00:00:00,2.943,
314,07/14/22 00:30:00,2.943,
315,07/14/22 01:00:00,2.943,
316,07/14/22 01:30:00,2.943,
317,07/14/22 02:00:00,2.943,
318,07/14/22 02:30:00,2.943,
319,07/14/22 03:00:00,2.837,
320,07/14/22 03:30:00,2.943,
321,07/14/22 04:00:00,2.943,
322,07/14/22 04:30:00,2.943,
323,07/14/22 05:00:00,2.943,
324,07/14/22 05:30:00,2.943,
325,07/14/22 06:00:00,2.943,
326,07/14/22 06:30:00,2.943,
327,07/14/22 07:00:00,2.943,
328,07/14/22 07:30:00,2.943,
329,07/14/22 08:00:00,2.943,
330,07/14/22 08:30:00,2.943,
331,07/14/22 09:00:00,2.943,
332,07/14/22 09:30:00,2.943,
333,07/14/22 10:00:00,3.049,
334,07/14/22 10:30:00,3.049,
335,07/14/22 11:00:00,3.049,
336,07/14/22 11:30:00,3.049,
337,07/14/22 12:00:00,3.049,
338,07/14/22 12:30:00,3.049,
339,07/14/22 13:00:00,3.155,
340,07/14/22 13:30:00,3.155,
341,07/14/22 14:00:00,3.155,
342,07/14/22 14:30:00,3.049,
343,07/14/22 15:00:00,3.049,
344,07/14/22 15:30:00,3.049,
345,07/14/22 16:00:00,3.049,
346,07/14/22 16:30:00,3.049,
347,07/14/22 17:00:00,3.049,
348,07/14/22 17:30:00,3.049,
349,07/14/22 18:00:00,3.049,
350,07/14/22 18:30:00,3.049,
351,07/14/22 19:00:00,3.049,
352,07/14/22 19:30:00,2.943,
353,07/14/22 20:00:00,2.943,
354,07/14/22 20:30:00,2.943,
355,07/14/22 21:00:00,2.943,
356,07/14/22 21:30:00,2.943,
357,07/14/22 22:00:00,2.943,
358,07/14/22 22:30:00,2.943,
359,07/14/22 23:00:00,2.943,
360,07/14/22 23:30:00,2.943,
361,07/15/22 00:00:00,2.943,
362,07/15/22 00:30:00,2.943,
363,07/15/22 01:00:00,2.943,
364,07/15/22 01:30:00,2.943,
365,07/15/22 02:00:00,2.943,
366,07/15/22 02:30:00,2.943,
367,07/15/22 03:00:00,2.943,
368,07/15/22 03:30:00,2.943,
369,07/15/22 04:00:00,2.943,
370,07/15/22 04:30:00,2.943,
371,07/15/22 05:00:00,2.943,
372,07/15/22 05:30:00,2.943,
373,07/15/22 06:00:00,2.943,
374,07/15/22 06:30:00,2.943,
375,07/15/22 07:00:00,2.943,
376,07/15/22 07:30:00,2.943,
377,07/15/22 08:00:00,2.943,
378,07/15/22 08:30:00,2.943,
379,07/15/22 09:00:00,2.943,
380,07/15/22 09:30:00,3.049,
381,07/15/22 10:00:00,3.049,
382,07/15/22 10:30:00,3.049,
383,07/15/22 11:00:00,3.049,
384,07/15/22 11:30:00,3.049,
385,07/15/22 12:00:00,3.049,
386,07/15/22 12:30:00,3.049,
387,07/15/22 13:00:00,3.049,
388,07/15/22 13:30:00,3.155,
389,07/15/22 14:00:00,3.049,
390,07/15/22 14:30:00,3.049,
391,07/15/22 15:00:00,3.049,
392,07/15/22 15:30:00,3.049,
393,07/15/22 16:00:00,3.049,
394,07/15/22 16:30:00,3.049,
395,07/15/22 17:00:00,3.049,
396,07/15/22 17:30:00,3.049,
397,07/15/22 18:00:00,2.943,
398,07/15/22 18:30:00,2.943,
399,07/15/22 19:00:00,2.943,
400,07/15/22 19:30:00,2.943,
401,07/15/22 20:00:00,2.943,
402,07/15/22 20:30:00,2.943,
403,07/15/22 21:00:00,2.943,
404,07/15/22 21:30:00,2.943,
405,07/15/22 22:00:00,2.943,
406,07/15/22 22:30:00,2.943,
407,07/15/22 23:00:00,2.943,
408,07/15/22 23:30:00,2.943,
409,07/16/22 00:00:00,2.943,
410,07/16/22 00:30:00,2.943,
411,07/16/22 01:00:00,2.943,
412,07/16/22 01:30:00,2.943,
413,07/16/22 02:00:00,2.943,
414,07/16/22 02:30:00,2.943,
415,07/16/22 03:00:00,2.943,
416,07/16/22 03:30:00,2.943,
417,07/16/22 04:00:00,2.943,
418,07/16/22 04:30:00,2.943,
419,07/16/22 05:00:00,2.943,
420,07/16/22 05:30:00,2.943,
421,07/16/22 06:00:00,2.943,
422,07/16/22 06:30:00,2.943,
423,07/16/22 07:00:00,2.943,
424,07/16/22 07:30:00,2.943,
425,07/16/22 08:00:00,2.943,
426,07/16/22 08:30:00,2.943,
427,07/16/22 09:00:00,2.943,
428,07/16/22 09:30:00,2.943,
429,07/16/22 10:00:00,2.943,
430,07/16/22 10:30:00,3.049,
431,07/16/22 11:00:00,3.049,
432,07/16/22 11:30:00,3.049,
433,07/16/22 12:00:00,3.049,
434,07/16/22 12:30:00,3.049,
435,07/16/22 13:00:00,3.049,
436,07/16/22 13:30:00,3.155,
437,07/16/22 14:00:00,3.155,
438,07/16/22 14:30:00,3.155,
439,07/16/22 15:00:00,3.049,
440,07/16/22 15:30:00,3.049,
441,07/16/22 16:00:00,3.049,
442,07/16/22 16:30:00,3.049,
443,07/16/22 17:00:00,3.049,
444,07/16/22 17:30:00,3.049,
445,07/16/22 18:00:00,2.943,
446,07/16/22 18:30:00,2.943,
447,07/16/22 19:00:00,2.943,
448,07/16/22 19:30:00,2.943,
449,07/16/22 20:00:00,2.943,
450,07/16/22 20:30:00,2.943,
451,07/16/22 21:00:00,2.943,
452,07/16/22 21:30:00,2.943,
453,07/16/22 22:00:00,2.943,
454,07/16/22 22:30:00,2.943,
455,07/16/22 23:00:00,2.943,
456,07/16/22 23:30:00,2.943,
457,07/17/22 00:00:00,2.943,
458,07/17/22 00:30:00,2.943,
459,07/17/22 01:00:00,2.943,
460,07/17/22 01:30:00,2.943,
461,07/17/22 02:00:00,2.943,
462,07/17/22 02:30:00,2.943,
463,07/17/22 03:00:00,2.943,
464,07/17/22 03:30:00,2.943,
465,07/17/22 04:00:00,2.943,
466,07/17/22 04:30:00,2.943,
467,07/17/22 05:00:00,2.943,
468,07/17/22 05:30:00,2.943,
469,07/17/22 06:00:00,2.943,
470,07/17/22 06:30:00,2.943,
471,07/17/22 07:00:00,2.943,
472,07/17/22 07:30:00,2.943,
473,07/17/22 08:00:00,2.943,
474,07/17/22 08:30:00,2.943,
475,07/17/22 09:00:00,2.943,
476,07/17/22 09:30:00,2.943,
477,07/17/22 10:00:00,2.943,
478,07/17/22 10:30:00,2.943,
479,07/17/22 11:00:00,2.943,
480,07/17/22 11:30:00,2.943,
481,07/17/22 12:00:00,3.049,
482,07/17/22 12:30:00,3.049,
483,07/17/22 13:00:00,2.943,
484,07/17/22 13:30:00,2.943,
485,07/17/22 14:00:00,2.943,
486,07/17/22 14:30:00,2.943,
487,07/17/22 15:00:00,2.943,
488,07/17/22 15:30:00,2.943,
489,07/17/22 16:00:00,2.943,
490,07/17/22 16:30:00,2.943,
491,07/17/22 17:00:00,2.943,
492,07/17/22 17:30:00,2.943,
493,07/17/22 18:00:00,2.943,
494,07/17/22 18:30:00,2.943,
495,07/17/22 19:00:00,2.943,
496,07/17/22 19:30:00,2.943,
497,07/17/22 20:00:00,2.943,
498,07/17/22 20:30:00,2.943,
499,07/17/22 21:00:00,2.943,
500,07/17/22 21:30:00,2.943,
501,07/17/22 22:00:00,2.943,
502,07/17/22 22:30:00,2.943,
503,07/17/22 23:00:00,2.943,
504,07/17/22 23:30:00,2.943,
505,07/18/22 00:00:00,2.943,
506,07/18/22 00:30:00,2.837,
507,07/18/22 01:00:00,2.943,
508,07/18/22 01:30:00,2.943,
509,07/18/22 02:00:00,2.837,
510,07/18/22 02:30:00,2.837,
511,07/18/22 03:00:00,2.943,
512,07/18/22 03:30:00,2.837,
513,07/18/22 04:00:00,2.837,
514,07/18/22 04:30:00,2.837,
515,07/18/22 05:00:00,2.837,
516,07/18/22 05:30:00,2.837,
517,07/18/22 06:00:00,2.837,
518,07/18/22 06:30:00,2.837,
519,07/18/22 07:00:00,2.943,
520,07/18/22 07:30:00,2.943,
521,07/18/22 08:00:00,2.943,
522,07/18/22 08:30:00,2.943,
523,07/18/22 09:00:00,2.943,
524,07/18/22 09:30:00,2.943,
525,07/18/22 10:00:00,2.943,
526,07/18/22 10:30:00,2.943,
527,07/18/22 11:00:00,3.049,
528,07/18/22 11:30:00,3.049,
529,07/18/22 12:00:00,3.049,
530,07/18/22 12:30:00,3.049,
531,07/18/22 13:00:00,3.049,
532,07/18/22 13:30:00,3.049,
533,07/18/22 14:00:00,3.049,
534,07/18/22 14:30:00,3.049,
535,07/18/22 15:00:00,3.049,
536,07/18/22 15:30:00,3.049,
537,07/18/22 16:00:00,3.049,
538,07/18/22 16:30:00,3.049,
539,07/18/22 17:00:00,2.943,
540,07/18/22 17:30:00,2.943,
541,07/18/22 18:00:00,2.943,
542,07/18/22 18:30:00,2.943,
543,07/18/22 19:00:00,2.943,
544,07/18/22 19:30:00,2.943,
545,07/18/22 20:00:00,2.943,
546,07/18/22 20:30:00,2.943,
547,07/18/22 21:00:00,2.943,
548,07/18/22 21:30:00,2.943,
549,07/18/22 22:00:00,2.943,
550,07/18/22 22:30:00,2.943,
551,07/18/22 23:00:00,2.943,
552,07/18/22 23:30:00,2.943,
553,07/19/22 00:00:00,2.943,
554,07/19/22 00:30:00,2.943,
555,07/19/22 01:00:00,2.837,
556,07/19/22 01:30:00,2.837,
557,07/19/22 02:00:00,2.837,
558,07/19/22 02:30:00,2.837,
559,07/19/22 03:00:00,2.943,
560,07/19/22 03:30:00,2.837,
561,07/19/22 04:00:00,2.837,
562,07/19/22 04:30:00,2.837,
563,07/19/22 05:00:00,2.837,
564,07/19/22 05:30:00,2.837,
565,07/19/22 06:00:00,2.943,
566,07/19/22 06:30:00,2.943,
567,07/19/22 07:00:00,2.837,
568,07/19/22 07:30:00,2.943,
569,07/19/22 08:00:00,2.943,
570,07/19/22 08:30:00,2.943,
571,07/19/22 09:00:00,2.943,
572,07/19/22 09:30:00,3.049,
573,07/19/22 10:00:00,3.049,
574,07/19/22 10:30:00,3.049,
575,07/19/22 11:00:00,3.049,
576,07/19/22 11:30:00,3.049,
577,07/19/22 12:00:00,3.049,
578,07/19/22 12:30:00,3.049,
579,07/19/22 13:00:00,3.049,
580,07/19/22 13:30:00,3.155,
581,07/19/22 14:00:00,3.049,
582,07/19/22 14:30:00,3.049,
583,07/19/22 15:00:00,3.049,
584,07/19/22 15:30:00,3.049,
585,07/19/22 16:00:00,3.049,
586,07/19/22 16:30:00,3.049,
587,07/19/22 17:00:00,3.049,
588,07/19/22 17:30:00,3.049,
589,07/19/22 18:00:00,3.049,
590,07/19/22 18:30:00,3.049,
591,07/19/22 19:00:00,2.943,
592,07/19/22 19:30:00,2.943,
593,07/19/22 20:00:00,2.943,
594,07/19/22 20:30:00,2.943,
595,07/19/22 21:00:00,2.943,
596,07/19/22 21:30:00,2.943,
597,07/19/22 22:00:00,2.943,
598,07/19/22 22:30:00,2.943,
599,07/19/22 23:00:00,2.943,
600,07/19/22 23:30:00,2.943,
601,07/20/22 00:00:00,2.943,
602,07/20/22 00:30:00,2.943,
603,07/20/22 01:00:00,2.837,
604,07/20/22 01:30:00,2.837,
605,07/20/22 02:00:00,2.943,
606,07/20/22 02:30:00,2.943,
607,07/20/22 03:00:00,2.943,
608,07/20/22 03:30:00,2.943,
609,07/20/22 04:00:00,2.837,
610,07/20/22 04:30:00,2.837,
611,07/20/22 05:00:00,2.837,
612,07/20/22 05:30:00,2.837,
613,07/20/22 06:00:00,2.837,
614,07/20/22 06:30:00,2.943,
615,07/20/22 07:00:00,2.943,
616,07/20/22 07:30:00,2.943,
617,07/20/22 08:00:00,2.943,
618,07/20/22 08:30:00,2.943,
619,07/20/22 09:00:00,2.943,
620,07/20/22 09:30:00,2.943,
621,07/20/22 10:00:00,2.943,
622,07/20/22 10:30:00,2.943,
623,07/20/22 11:00:00,3.049,
624,07/20/22 11:30:00,3.049,
625,07/20/22 12:00:00,3.049,
626,07/20/22 12:30:00,3.049,
627,07/20/22 13:00:00,3.155,
628,07/20/22 13:30:00,3.049,
629,07/20/22 14:00:00,3.049,
630,07/20/22 14:30:00,3.049,
631,07/20/22 15:00:00,3.049,
632,07/20/22 15:30:00,3.049,
633,07/20/22 16:00:00,3.049,
634,07/20/22 16:30:00,3.049,
635,07/20/22 17:00:00,3.049,
636,07/20/22 17:30:00,2.943,
637,07/20/22 18:00:00,3.049,
638,07/20/22 18:30:00,2.943,
639,07/20/22 19:00:00,2.943,
640,07/20/22 19:30:00,2.943,
641,07/20/22 20:00:00,2.943,
642,07/20/22 20:30:00,2.943,
643,07/20/22 21:00:00,2.943,
644,07/20/22 21:30:00,2.943,
645,07/20/22 22:00:00,2.943,
646,07/20/22 22:30:00,2.943,
647,07/20/22 23:00:00,2.943,
648,07/20/22 23:30:00,2.943,
649,07/21/22 00:00:00,2.943,
650,07/21/22 00:30:00,2.943,
651,07/21/22 01:00:00,2.837,
652,07/21/22 01:30:00,2.943,
653,07/21/22 02:00:00,2.943,
654,07/21/22 02:30:00,2.943,
655,07/21/22 03:00:00,2.837,
